player_name,team,current_ovr,proposed_ovr,delta,Final Decision,current_tier,proposed_tier,model_source,confidence,manual_review_reason,reasoning
Cooper Flagg (2025-26),Dallas Mavericks,91,83,-8,90,Amethyst,Sapphire,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta. | Tier change: Amethyst to Sapphire.,Active/current card anchor set to 83; needs final stat-source validation before merge.
Cade Cunningham (2025-26),Detroit Pistons,93,87,-6,93,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 87; needs final stat-source validation before merge.
Tyrese Maxey (2025-26),Philadelphia 76ers,93,87,-6,93,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 87; needs final stat-source validation before merge.
Victor Wembanyama (2025-26),San Antonio Spurs,95,91,-4,94,Amethyst,Amethyst,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta.,Active/current card anchor set to 91; needs final stat-source validation before merge.
Anthony Edwards (2025-26),Minnesota Timberwolves,94,90,-4,93,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 90; needs final stat-source validation before merge.
Jaylen Brown (2025-26),Boston Celtics,92,88,-4,92,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 88; needs final stat-source validation before merge.
Chet Holmgren (2025-26),Oklahoma City Thunder,91,87,-4,91,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 87; needs final stat-source validation before merge.
Reggie Miller,Indiana Pacers,89,93,4,92,Ruby,Amethyst,exact-anchor,high,Large proposed OVR delta. | Tier change: Ruby to Amethyst.,"Reggie anchor: playoff shotmaking, off-ball gravity, durability, and era-shaping movement shooting."
Anthony Davis (2025-26),Washington Wizards,92,89,-3,91,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 89; needs final stat-source validation before merge.
Donovan Mitchell (2025-26),Cleveland Cavaliers,92,89,-3,91,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 89; needs final stat-source validation before merge.
